year,home_team,away_team,rank_dif,rating_dif,label
2014,Croatia,Australia,-39,9.090909090909093,0
2014,Chile,Uruguay,6,-1.363636363636374,1
2014,Colombia,Uruguay,-2,0.0,0
2014,Japan,Uruguay,38,-5.818181818181827,1
2014,Italy,Uruguay,3,1.0909090909090793,1
2014,Costa Rica,Japan,-13,-0.45454545454545325,1
2014,Ivory Coast,Japan,-27,4.181818181818187,0
2014,Costa Rica,England,21,-6.727272727272734,2
2014,Switzerland,England,-3,-3.363636363636374,1
2014,Uruguay,England,-4,-0.45454545454545325,0
2014,Honduras,England,24,-12.90909090909092,2
2014,Ecuador,England,12,-6.545454545454547,2
2014,Costa Rica,Greece,16,-2.6363636363636402,2
2014,Colombia,Greece,-11,3.6363636363636402,0
2014,Japan,Greece,29,-2.181818181818187,2
2014,Portugal,Greece,-1,4.181818181818173,2
2014,Mexico,Ecuador,2,4.0909090909090935,0
2014,Australia,Ecuador,35,-0.7272727272727337,1
2014,Switzerland,Ecuador,-15,3.1818181818181728,0
2014,Netherlands,Ecuador,-14,3.636363636363626,2
2014,Honduras,Ecuador,12,-6.363636363636374,1
2014,Mexico,Portugal,10,-2.5454545454545325,1
2014,France,Portugal,7,-0.8111888111887993,0
2014,Germany,Portugal,-12,5.727272727272734,0
2014,Mexico,Cameroon,-35,1.363636363636374,0
2014,Germany,Cameroon,-57,9.63636363636364,2
2014,Portugal,Cameroon,-45,3.9090909090909065,0
2014,Brazil,Cameroon,-48,6.818181818181827,0
2014,Ivory Coast,Cameroon,-42,1.7272727272727337,2
2014,Mexico,Chile,12,-0.636363636363626,2
2014,Germany,Chile,-10,7.63636363636364,0
2014,Spain,Chile,-11,8.0,1
2014,Netherlands,Chile,-4,-1.0909090909090935,0
2014,Brazil,Chile,-1,4.818181818181827,2
2014,Iran,Nigeria,16,-3.488095238095241,2
2014,France,Nigeria,-12,4.544871794871796,0
2014,Greece,Nigeria,-18,1.174242424242422,2
2014,Algeria,Russia,13,1.8571428571428612,2
2014,Belgium,Russia,-14,10.493506493506501,0
2014,Australia,Netherlands,49,-4.36363636363636,1
2014,France,Netherlands,13,2.1888111888112007,0
2014,Spain,Netherlands,-7,9.090909090909093,1
2014,Italy,Netherlands,1,3.5454545454545467,0
2014,Brazil,Netherlands,3,5.909090909090921,1
